name,city,state,zip,clia,domain,error
RAPID PAX LASB INC,NORTH HOLLYWOOD,CA,91606,05D2290384,bizprofile.net,
"INFORM DIAGNOSTICS, INC",OCEANSIDE,CA,92057,05D2313265,informdx.com,
"COHEN DERMATOPATHOLOGY, PC DBA INFORM DIAGNOSTICS",PALM DESERT,CA,92211,05D2324729,informdx.com,
COLORADO DEPT OF PUBLIC HEALTH & ENVIRONMENT,DENVER,CO,80230,06D0644326,cdphe.colorado.gov,
HEALTH CENTER AT AURARIA,DENVER,CO,80217,06D0672142,healthcenter1.com,
TAMARAC MEDICAL INC,CENTENNIAL,CO,80122,06D0899927,tamaracmedical.com,
COLORADO ANTIVIRAL PHARMACOLOGY LABORATORY,AURORA,CO,80045,06D1094710,pharmacy.cuanschutz.edu,
"BIOLIFE PLASMA SERVICES, LP",LOVELAND,CO,80538,06D2082523,biolifeplasma.com,
"BIOLIFE PLASMA SERVICES, LP",COLORADO SPRINGS,CO,80923,06D2117010,biolifeplasma.com,
ROCKY MOUNTAIN LABORATORY,FORT COLLINS,CO,80525,06D2150068,rockymountainlabs.com,
"CSL PLASMA, INC",EVANS,CO,80620,06D0862933,cslplasma.com,
"STATLAB DIAGNOSTICS, LLC",DENVER,CO,80211,06D2200475,statlabdiagnostics.com,
COMMONSPIRIT EMERGENCY & URGENT CARE LAKEWOOD,LAKEWOOD,CO,80227,06D2124408,mountain.commonspirit.org,
COMMONSPIRIT EMERGENCY AND URGENT CARE,DACONO,CO,80514,06D2112697,mountain.commonspirit.org,
DENVER DERMATOPATHOLOGY LLC,DENVER,CO,80205,06D2231652,medschool.cuanschutz.edu,
LABORATORY CORPORATION OF AMERICA,BOULDER,CO,80304,06D2211550,labcorp.com,
"CSL PLASMA, INC",COLORADO SPRINGS,CO,80918,06D2173388,cslplasma.com,
ST MARY'S REGIONAL HOSPITAL - AMBULANCE SERVICE,GRAND JUNCTION,CO,81501,06D2099015,stmarygj.org,
"PATHOLOGY SERVICES, PC",DURANGO,CO,81301,06D2246685,pathologyservices.com,
INTEGRATED MOLECULAR DIAGNOSTICS PATHOLOGY,AURORA,CO,80045,06D2091162,imdpath.com,
PEAK CLINICAL DIAGNOSTICS LLC,AURORA,CO,80014,06D2267171,peakclinicaldiagnostics.com,
"CSL PLASMA, INC - NORTHGLENN",NORTHGLENN,CO,80233,06D2093240,cslplasma.com,
INGERLISA MATTOCH MD INC DBA TIAGA PATHOLOGY,LOVELAND,CO,80538,06D2284295,tiagapathlab.com,
"SALIENT DIAGNOSTICS, LLC",DENVER,CO,80216,06D2303146,salientdx.com,
BIOLIFE PLASMA SERVICES LP,THORNTON,CO,80229,06D2299172,biolifeplasma.com,
"QUEST DIAGNOSTICS, LLC",WALLINGFORD,CT,06492,07D0093126,locations.questdiagnostics.com,
QUEST DIAGNOSTICS,NEW HAVEN,CT,06513,07D0095979,locations.questdiagnostics.com,
EAGLE COUNTY PARAMEDIC SERVICES,EDWARDS,CO,81632,06D2294981,eaglecountyparamedics.com,
MOLECULAR DIAGNOSTIC LABORATORY LLC,WALLINGFORD,CT,06492,07D0993149,,
GH BENDHEIM LABORATORY,GREENWICH,CT,06830,07D0694769,greenwichhospital.org,
DR KATHERINE A KELLEY STATE PUBLIC HEALTH LAB,ROCKY HILL,CT,06067,07D0644555,portal.ct.gov,
SAINT MARY'S HOSPITAL ONCOLOGY CENTER,WATERBURY,CT,06708,07D0899809,trinityhealthofne.org,
DERMATOPATHOLOGY LABORATORY OF NEW ENGLAND PC,MERIDEN,CT,06450,07D0902738,dermpathlabne.com,
OBGYN GROUP OF EASTERN CT PC,SOUTH WINDSOR,CT,06074,07D0677759,obgyneasternct.com,
PFIZER PHARMACOGENOMICS LAB,GROTON,CT,06340,07D1105829,pfizer.com,
CENTER FOR ADVANCED REPRODUCTIVE SERVICES,HARTFORD,CT,06106,07D0723063,uconnfertility.com,
QUEST DIAGNOSTICS LLC,WETHERSFIELD,CT,06109,07D0959690,locations.questdiagnostics.com,
QUEST DIAGNOSTICS LLC,CHESHIRE,CT,06410,07D1068226,locations.questdiagnostics.com,
QUEST DIAGNOSTICS LLC,HAMDEN,CT,06518,07D0098549,locations.questdiagnostics.com,
CT GI LABORATORY POWERED BY,WETHERSFIELD,CT,06109,07D2065321,connecticutgi.org,
"ACCU REFERENCE MEDICAL LAB, LLC",EAST HARTFORD,CT,06108,07D2062566,accureference.com,
"MILFORD MOLECULAR DIAGNOSTICS, LLC",MILFORD,CT,06460,07D2067401,dnalymetest.com,
QUEST DIAGNOSTICS LLC,OLD SAYBROOK,CT,06475,07D2094238,locations.questdiagnostics.com,
QUEST DIAGNOSTICS LLC,AVON,CT,06001,07D2107880,locations.questdiagnostics.com,
QUEST DIAGNOSTICS,NORWICH,CT,06360,07D2058038,locations.questdiagnostics.com,
QUEST DIAGNOSTICS LLC,ENFIELD,CT,06082,07D2107878,locations.questdiagnostics.com,
QUEST DIAGNOSTICS,BLOOMFIELD,CT,06002,07D2107888,locations.questdiagnostics.com,
QUEST DIAGNOSTICS LLC,WEST HAVEN,CT,06516,07D2108221,locations.questdiagnostics.com,
QUEST DIAGNOSTICS,SOUTHBURY,CT,06488,07D2107882,locations.questdiagnostics.com,
"PRECISION TOXICOLOGY, LLC",WEST HARTFORD,CT,06119,07D2093663,precisiontoxicology.com,
YALE DERMATOLOGY-BRANFORD,BRANFORD,CT,06405,07D2112485,yalemedicine.org,
QUEST DIAGNOSTICS,WALLINGFORD,CT,06492,07D2133460,locations.questdiagnostics.com,
QUEST DIAGNOSTICS LLC,BRIDGEPORT,CT,06606,07D2133457,locations.questdiagnostics.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,GREENWICH,CT,06831,07D2169459,locations.labcorp.com,
ADVANCED GENETICS LAB,MONROE,CT,06468,07D2147777,advancedgeneticslab.com,
QUEST DIAGNOSTICS LLC,MILFORD,CT,06460,07D2133458,locations.questdiagnostics.com,
QUEST DIAGNOSTICS,NEW BRITAIN,CT,06053,07D2108223,locations.questdiagnostics.com,
GENCO LABS LLC,BRANFORD,CT,06405,07D2172174,gencolabs.com,
QUEST DIAGNOSTICS LLC,SOUTHINGTON,CT,06489,07D2174117,locations.questdiagnostics.com,
QUEST DIAGNOSTICS LLC,WEST HARTFORD,CT,06107,07D2174115,locations.questdiagnostics.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,STAMFORD,CT,06905,07D2170095,locations.labcorp.com,
QUEST DIAGNOSTICS LLC,WINDSOR,CT,06095,07D2175391,locations.questdiagnostics.com,
QUEST DIAGNOSTICS LLC,MANCHESTER,CT,06042,07D2175400,locations.questdiagnostics.com,
"EAST SIDE CLINICAL LABORATORY, INC",NORWICH,CT,06360,07D2164116,eastsidelab.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,DANBURY,CT,06810,07D2169461,labcorp.com,
LABORATORY FOR DNA-GUIDED MEDICINE,HARTFORD,CT,06106,07D2160761,dnaguidance.com,
DIANON SYSTEMS INC,WOODBRIDGE,CT,06525,07D2283699,dianon.com,
LABORATORY CORPORATION OF AMERICA,NEW CASTLE,DE,19720,08D0205715,locations.labcorp.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,ROCKY HILL,CT,06067,07D2279329,locations.labcorp.com,
GREEN CLINICS LABORATORY,DOVER,DE,19901,08D2099470,greenclinics.net,
"QPS, LLC",NEWARK,DE,19711,08D0995854,qps.com,
ECPC-C WALLACE HOME,AVON,CT,06001,07D2316952,wallacedesigncenter.com,
"CSL PLASMA, INC",NEWARK,DE,19713,08D2178548,cslplasma.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,SOUTHINGTON,CT,06489,07D2315426,labcorp.com,
"CTM MEDICAL ASSOCIATES, LLC",MILLSBORO,DE,19966,08D2101683,,
DELAWARE PUBLIC HEALTH LABORATORY,SMYRNA,DE,19977,08D0662985,dhss.delaware.gov,
SUNWISE FAMILY DERMATOLOGY AND SURGERY,MIDDLETOWN,DE,19709,08D2137936,sunwisederm.com,
B & W STAT LABORATORY,WASHINGTON,DC,20010,09D0208053,bwstatlab.com,
"INCENDIUM, LLC",DOVER,DE,19901,08D1091063,practicecrown.com,
RSM DIAGNOSTICS LAB LLC,WILMINGTON,DE,19810,08D2253750,rsmdiagnosticslab.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,EAST HAVEN,CT,06512,07D2327629,labcorp.com,
GEORGETOWN DERMPATH,WASHINGTON,DC,20016,09D1092155,georgetowndermpath.com,
EPIARX CONCIERGE PLLC,WASHINGTON,DC,20016,09D2177481,epiarx.com,
QUANTUM HEALTH DIAGNOSTICS,PENSACOLA,FL,32503,10D0270905,pathology-group.com,
FLORIDA DEPARTMENT OF HEALTH IN MIAMI DADE COUNTY,MIAMI,FL,33125,10D0024196,miamidade.floridahealth.gov,
CELL SCIENCE SYSTEMS CORPORATION,DEERFIELD BEACH,FL,33442,10D0283906,cellsciencesystems.com,
FINLAY CLINICAL LABORATORY INC,MIAMI,FL,33135,10D0280554,finlaylab.com,
IMMUNO LABORATORIES INC,FORT LAUDERDALE,FL,33309,10D0284781,immunolabs.com,
BERNHARDT LABORATORIES,JACKSONVILLE,FL,32207,10D0645099,bernhardtlabs.com,
FL DEPT OF HEALTH BUREAU OF PUBLIC HEALTH,TAMPA,FL,33612,10D0645546,floridahealth.gov,
LIFELINK FOUNDATION INC D/B/A,TAMPA,FL,33619,10D0645555,lifelinkfound.org,
ST JOHNS BIOMEDICAL LABORATORIES INC,SAINT AUGUSTINE,FL,32086,10D0645082,staugustinehealth.com,
UMDC DERMATOPATHOLOGY LABORATORY,MIAMI,FL,33136,10D0692983,med.miami.edu,
PALM BEACH COUNTY HEALTH DEPARTMENT-LABORATORY,WEST PALM BEACH,FL,33407,10D0683133,palmbeach.floridahealth.gov,
FL DOH - BPHL,JACKSONVILLE,FL,32202,10D0645095,floridahealth.gov,
INSIGHT DIAGNOSTICS LLC,LEWES,DE,19958,08D2318627,insightdxs.com,
BIOLIFE PLASMA SERVICES LP,LAKELAND,FL,33813,10D0663652,biolifeplasma.com,
"FDOH, BUREAU OF PUBLIC HEALTH LABORATORIES - MIAMI",MIAMI,FL,33125,10D0645348,floridahealth.gov,
CSL PLASMA INC,PENSACOLA,FL,32503,10D0862924,cslplasma.com,
PATHOLOGY ASSOCIATES,PANAMA CITY,FL,32405,10D0885189,baypathologyassociates.com,
PLANNED PARENTHOOD OF FLORIDA INC,WEST PALM BEACH,FL,33409,10D0722304,ppfl.org,
PLANNED PARENTHOOD OF FLORIDA,ORLANDO,FL,32817,10D0899197,plannedparenthood.org,
MICRO PATH LABORATORIES INC,WINTER HAVEN,FL,33881,10D0939339,micropathlabs.com,
RUFFOLO HOOPER & ASSOCIATES MD PA,TAMPA,FL,33634,10D1012566,rha-pa.com,
BIO-TECH CLINICAL LABORATORIES INC,DORAL,FL,33172,10D0965332,biotechclinicallab.com,
"REPRODUCTIVE MEDICINE GROUP LLC, THE",CLEARWATER,FL,33761,10D0924394,floridafertility.com,
"REPRODUCTIVE MEDICINE GROUP LLC, THE",TAMPA,FL,33609,10D0924393,floridafertility.com,
"REPRODUCTIVE MEDICINE GROUP LLC, THE",BRANDON,FL,33511,10D0989448,floridafertility.com,
ROBERT A NORMAN DO PA,TAMPA,FL,33626,10D0908280,drrobertnorman.com,
BOCA RATON DERMATOLOGY PA,DELRAY BEACH,FL,33484,10D0990498,bocaratonderm.com,
FORT MYERS DERMATOPATHOLOGY PA,FORT MYERS,FL,33907,10D1012626,,
RELIANCE PATHOLOGY PARTNERS LLC,BRANDON,FL,33511,10D1038878,reliancepathology.com,
SHORELINE UROCARE PL,BROOKSVILLE,FL,34613,10D0868528,shorelineuro.com,
OXFORD BIOMEDICAL TECHNOLOGIES INC,RIVIERA BEACH,FL,33404,10D0914874,nowleap.com,
AMERIPATH FLORIDA LLC,CORAL SPRINGS,FL,33071,10D1040841,ameripath.com,
UNITED LABORATORY SERVICES CORP,MIAMI,FL,33155,10D1044073,unitedlabservice.com,
AMERIPATH FLORIDA LLC,FORT MYERS,FL,33907,10D1041409,ameripath.com,
IBIS HEALTHCARE INC,TAMPA,FL,33605,10D1053861,ibishealthcare.org,
I PATHOLOGY LLC,LAKELAND,FL,33815,10D1079616,ipathlifesciences.com,
"DERMATOLOGY GROUP OF FLORIDA, PA",KEY LARGO,FL,33037,10D1077527,khouridermatology.com,
MORGAN DERMPATH LABS INC,JUPITER,FL,33458,10D1074257,drgalen.org,
SURGICAL PATHOLOGY LABORATORIES PA MLU8,PINELLAS PARK,FL,33781,10D1095707,surgicalpathlabs.com,
REGIONAL CANCER CENTER,FORT MYERS,FL,33905,10D1089024,leehealth.org,
SUNRISE CLINICAL LABORATORY INC,PORT CHARLOTTE,FL,33952,10D1025536,npino.org,
SURGICAL PATHOLOGY LABORATORIES PA MLU 9,PINELLAS PARK,FL,33781,10D1105853,surgicalpathlabs.com,
ROBB E WILENTZ MD LLC,AVENTURA,FL,33180,10D2004292,skinandcancerassociates.com,
PATHOLOGY ON THE GO INC,POMPANO BEACH,FL,33069,10D1100498,dnatestingcenters.com,
CSL PLASMA INC,WILTON MANORS,FL,33311,10D2028813,cslplasma.com,
NEOGENOMICS LABORATORIES INC,TEMPLE TERRACE,FL,33637,10D2031805,neogenomics.com,
"XACT GENETICS, LLC",HENRIETTA,TX,76365,10D2030155,xactgenetics.com,
CSL PLASMA INC,PORT SAINT LUCIE,FL,34952,10D2027570,cslplasma.com,
FRANCESSCA BRETTSCHNEIDER MD,FORT LAUDERDALE,FL,33305,10D2004845,skinandcancerassociates.com,
RUFFOLO HOOPER & ASSOCIATES MD PA,SEFFNER,FL,33584,10D2004734,rha-pa.com,
CSL PLASMA INC-TAMPA,TAMPA,FL,33619,10D2072032,cslplasma.com,
DOCTORS CLINICAL LABORATORY SERVICES,DORAL,FL,33122,10D2032923,doctorsclinicallab.net,
RUFFOLO HOOPER & ASSOCIATES MD PA,TAMPA,FL,33606,10D2094538,rha-pa.com,
"PALM BEACH COUNTY FIREFIGHTERS HEALTH CLINIC, LLC",WEST PALM BEACH,FL,33411,10D2050889,myffwellness.com,
UHEALTH PATHOLOGY AT RMSB,MIAMI,FL,33136,10D2033659,umiamihealth.org,
IGENOMIX USA INC,MIAMI,FL,33126,10D2066797,igenomix.us,
SURGICAL PATHOLOGY LABORATORIES PA-MLU #11,PINELLAS PARK,FL,33781,10D2065373,surgicalpathlabs.com,
PROGRESSIVE MEDICAL LAB LLC,S DAYTONA,FL,32119,10D2077051,progressmedicalllc.com,
HUNG WEI LEE MD,BRADENTON,FL,34209,10D2083415,totalgastroenterology.com,
MID-FLORIDA PATHOLOGY LLC,LAUDERDALE BY THE SEA,FL,33308,10D2061921,midfloridapathology.com,
SURGICAL PATHOLOGY LABORATORIES PA MLU12,PINELLAS PARK,FL,33781,10D2097253,surgicalpathlabs.com,
CSL PLASMA INC,ORLANDO,FL,32839,10D2096239,cslplasma.com,
MID-FLORIDA PATHOLOGY LLC,ORLANDO,FL,32806,10D2053266,midfloridapathology.com,
MID - FLORIDA PATHOLOGY LLC,LEESBURG,FL,34748,10D2123842,midfloridapathology.com,
NILOGEN ONCOSYSTEMS LLC,TAMPA,FL,33612,10D2102362,nilogen.com,
UHEALTH ELECTRON MICROSCOPY LABORATORY,MIAMI,FL,33136,10D2131537,med.miami.edu,
RUFFOLO HOOPER & ASSOCIATES MD PA,TAMPA,FL,33613,10D2157658,rha-pa.com,
CBS LABS OF TAMPA LLC,TAMPA,FL,33607,10D2137962,cbslabstampa.com,
CSL PLASMA INC,LONGWOOD,FL,32750,10D2141890,cslplasma.com,
RELIANCE PATHOLOGY PARTNERS LLC-MOBILE,TAMPA,FL,33634,10D2097512,reliancepathology.com,
CSL PLASMA INC,ORANGE CITY,FL,32763,10D2106262,cslplasma.com,
CSL PLASMA INC,LAKELAND,FL,33815,10D2107932,cslplasma.com,
OHM LABS LLC,PALM CITY,FL,34990,10D2124997,ohm-labs.com,
CSL PLASMA INC,TALLAHASSEE,FL,32301,10D2144587,cslplasma.com,
AHF PUBLIC HEALTH LABORATORY,FORT LAUDERDALE,FL,33316,10D2149550,ahf.org,
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,MELBOURNE,FL,32940,10D2158465,ivfmd.com,
NEOGENOMICS LABORATORIES INC,JUNO BEACH,FL,33408,10D2151111,neogenomics.com,
APLS SERVICES LLC D/B/A CLEAR DIAGNOSTICS,TARPON SPRINGS,FL,34689,10D2096689,cleardiagnostics.net,
RELIANCE PATHOLOGY PARTNERS LLC,PALM HARBOR,FL,34683,10D2164073,reliancepathology.com,
BIOLIFE PLASMA SERVICES LP,CASSELBERRY,FL,32707,10D2136816,biolifeplasma.com,
SARASOTA PATHOLOGY,SAINT PETERSBURG,FL,33701,10D2162406,sarapath.com,
CSL PLASMA INC,MIRAMAR,FL,33023,10D2164771,cslplasma.com,
DYNAMIC PATHOLOGY PLLC,TAMPA,FL,33629,10D2165762,dynamicpathology.com,
CSL PLASMA INC,PALM BAY,FL,32905,10D2166715,cslplasma.com,
CSL PLASMA INC,HOMESTEAD,FL,33030,10D2170473,cslplasma.com,
CSL PLASMA INC,TEMPLE TERRACE,FL,33637,10D2162585,cslplasma.com,
HEMATOLOGY/ONCOLOGY OFFICE LAB AT REGIONAL,FORT MYERS,FL,33905,10D2173587,leehealth.org,
UF HEALTH MOLECULAR PATHOLOGY LABORATORY -,JACKSONVILLE,FL,32209,10D2170836,ufhealthjax.org,
"ONSPOT -FL, LLC",FORT MYERS,FL,33912,10D2224637,onspotdermatology.com,
RUFFOLO HOOPER & ASSOCIATES MD PA,TAMPA,FL,33634,10D2220185,rha-pa.com,
MID FLORIDA PATHOLOGY LLC,EUSTIS,FL,32726,10D2212076,midfloridapathology.com,
CSL PLASMA INC,JACKSONVILLE,FL,32208,10D2186397,cslplasma.com,
MID FLORIDA PATHOLOGY LLC,WILLISTON,FL,32696,10D2167244,midfloridapathology.com,
UNIVERSITY OF MIAMI HOSPITALS & CLINICS -,FORT LAUDERDALE,FL,33308,10D2209605,umiamihealth.org,
RUFFOLO HOOPER & ASSOCIATES MD PA,WESLEY CHAPEL,FL,33543,10D2218806,rha-pa.com,
CSL PLASMA INC,OCALA,FL,34471,10D2212098,cslplasma.com,
BIOLIFE PLASMA SERVICES LP,KISSIMMEE,FL,34744,10D2170479,biolifeplasma.com,
APP-PBP LLC,WEST PALM BEACH,FL,33401,10D2168311,startupwebsolutions.com.au,
"EXPRESS MEDICAL EXPERTS, LLC",ORANGE PARK,FL,32073,10D2219475,carecredit.com,
RUFFOLO HOOPER & ASSOCIATES MD PA,WESLEY CHAPEL,FL,33543,10D2226262,rha-pa.com,
"MARK & KAMBOUR, MD, PA",PORT CHARLOTTE,FL,33948,10D2244851,mkpathology.com,
"MICRO PATH LABORATORIES, INC",BARTOW,FL,33830,10D2264975,micropathlabs.com,
Z2 SCIENTIFIC LLC,CELEBRATION,FL,34747,10D2265416,z2scientific.com,
MAYO CLINIC JACKSONVILLE ELECTRON MICROSCOPY LAB,JACKSONVILLE,FL,32224,10D2272872,mayo.edu,
"CSL PLASMA, INC",TAMPA,FL,33612,10D2278007,cslplasma.com,
"RISING TIDE REFERENCE LABORATORY, LLC",LONGWOOD,FL,32750,10D2276452,rtrl.us,
"ANGEL TOUCH NURSE REGISTERED, LLC",MIAMI,FL,33186,10D2266950,angeltouchnurseregistered.com,
MICROWELL LABORATORIES INC,CLEARWATER,FL,33760,10D2266032,microwelllabs.com,
BIOLIFE PLASMA SERVICES LP,ORLANDO,FL,32822,10D2280081,biolifeplasma.com,
DYNAMIC PATHOLOGY ORLANDO,WINTER SPRINGS,FL,32708,10D2294645,dynamicpathology.com,
AMERIPATH FLORIDA LLC,ST JOHNS,FL,32259,10D2283648,ameripath.com,
REGIONAL CANCER CENTER AT BHC,ESTERO,FL,34135,10D2285496,leehealth.org,
MID FLORIDA PATHOLOGY LLC,DE LAND,FL,32720,10D2306670,midfloridapathology.com,
CONCIERGE PATHOLOGY LLC,JACKSONVILLE BEACH,FL,32250,10D2305053,conciergediagnostics.com,
PBPDM,DELRAY BEACH,FL,33484,10D2313071,delraybeachfl.gov,
GL CLINICAL LABORATORY AND RESEARCH LLC,MEDLEY,FL,33166,10D2307895,labprospects.com,
PATRIOT LABORATORY LLC,CLEARWATER,FL,33765,10D2314642,labprospects.com,
ATARAXIS AI INC,ORLANDO,FL,32809,10D2321150,ataraxis.ai,
MY MEDEX LAB LLC,JACKSONVILLE,FL,32210,10D2316512,mymedexlab.com,
UNIVERSITY OF MIAMI HOSPITAL & CLINICS - GCRB,MIAMI,FL,33136,10D2318807,umiamihealth.org,
"COMPREHENSIVE PATHOLOGY ASSOCIATES, PA",MIAMI,FL,33133,10D2286524,npidashboard.com,
MEDIPATH LLC,JACKSONVILLE,FL,32256,10D2323898,medipath.com,
ROSENBLUM-VICTORIA PA,PEMBROKE PINES,FL,33028,10D2300536,ddrlawyers.com,
"PLANNED PARENTHOOD SOUTHEAST, INC",MARIETTA,GA,30062,11D0258374,plannedparenthood.org,
"HARBIN CLINIC, LLC - MAIN OFFICE",ROME,GA,30165,11D0256801,romega.chambermaster.com,
MBMMD LLC,ODESSA,FL,33556,10D2323628,finehomebuilding.com,
"ASSOCIATED PATHOLOGISTS, LLC",ATLANTA,GA,30349,11D0260856,associated-pathologists.com,
ATLANTA DIABETES ASSOCIATES,ATLANTA,GA,30318,11D0259599,atlantadiabetes.com,
CHATHAM COUNTY HEALTH DEPT CLINIC,SAVANNAH,GA,31406,11D0690710,gachd.org,
COLUMBUS HEALTH DEPARTMENT,COLUMBUS,GA,31901,11D0674629,dph.georgia.gov,
GEORGIA PUBLIC HEALTH LABORATORY,DECATUR,GA,30033,11D0671793,dph.georgia.gov,
WAYCROSS REGIONAL LABORATORY,WAYCROSS,GA,31503,11D0671837,dph.georgia.gov,
DEKALB PUBLIC HEALTH,DECATUR,GA,30031,11D0693066,dekalbpublichealth.com,
HALL COUNTY HEALTH DEPARTMENT,GAINESVILLE,GA,30507,11D0691469,hallcounty.org,
EAST CENTRAL HEALTH DISTRICT,AUGUSTA,GA,30901,11D0694817,ecphd.com,
DISTRICT 4 PUBLIC HEALTH,LAGRANGE,GA,30240,11D0703582,district4health.org,
"ATLANTA HEALTH ASSOCIATES, INC",CUMMING,GA,30040,11D0883358,atlantahealth.net,
EAST GEORGIA DIAGNOSTIC SERVICES,STATESBORO,GA,30458,11D0982961,egradiology.com,
FORSYTH COUNTY HEALTH DEPARTMENT,CUMMING,GA,30040,11D0866868,forsythhd.com,
"CLINICAL LABORATORY SERVICES, INC",WINDER,GA,30680,11D0930302,clinicallaboratoryservices.com,
"GASTROENTEROLOGY SPECIALISTS OF GWINNETT, PC",LAWRENCEVILLE,GA,30046,11D0955022,gastrogwinnett.com,
SKINPATH SOLUTIONS,SMYRNA,GA,30080,11D2010733,skinpathsolutions.com,
DOUGHERTY COUNTY HEALTH DEPARTMENT,ALBANY,GA,31701,11D0702558,dph.georgia.gov,
"SEPA, PC AT SAINT MARY'S - DAN PROCTOR",SAINT MARYS,GA,31558,11D2019192,sghs.org,
"ACCU LAB, LLC - KIDNEY-HYPERTENSION-CLINIC, PC",LAWRENCEVILLE,GA,30046,11D2009488,acculabllc.com,
"SOUTHEASTERN DERMATOPATHOLOGY, LLC",CUMMING,GA,30041,11D2025057,sepath.com,
"SEPA, PC AT BRUNSWICK, - PARKWOOD",BRUNSWICK,GA,31520,11D2017905,sepalabs.com,
K & S CLINICAL DIAGNOSTICS,ATLANTA,GA,30339,11D2053177,ksdiagnostics.com,
"AMERICAN FOOT & LEG SPECIALISTS, LLC",STOCKBRIDGE,GA,30281,11D2114365,americanfoot.com,
"MYGENOMICS, LLC",ALPHARETTA,GA,30005,11D2084528,mygenomics.com,
CSL PLASMA INC,SMYRNA,GA,30080,11D2079194,cslplasma.com,
PRIORITY TOXICOLOGY LABORATORIES,UNION CITY,GA,30291,11D2108401,prioritytoxlab.com,
"BIOLIFE PLASMA SERVICES, LP",SOCIAL CIRCLE,GA,30025,11D2112585,biolifeplasma.com,
"EUROFINS DONOR & PRODUCT TESTING, LLC, ATLANTA",MARIETTA,GA,30067,11D2112698,eurofinsus.com,
BIOLIFE PLASMA SERVICES LP,SNELLVILLE,GA,30039,11D2103312,biolifeplasma.com,
"DIAGNOSTIC DERMATOPATHOLOGY ASSOCIATES, LLC",COLUMBUS,GA,31904,11D2108423,bdir.in,
"DIAGNOSTIC SOLUTIONS LABORATORY, LLC",ALPHARETTA,GA,30005,11D2097795,diagnosticsolutionslab.com,
"CSL PLASMA, JONESBORO",JONESBORO,GA,30236,11D2071924,cslplasma.com,
"CSL PLASMA, INC - STONE MOUNTAIN",STONE MOUNTAIN,GA,30083,11D2074466,cslplasma.com,
PATHOLOGY CONSULTANTS OF AUGUSTA,AUGUSTA,GA,30909,11D2087298,pcofaug.com,
SEPA PC AT AZALEA VALDOSTA GEORGIA,VALDOSTA,GA,31602,11D2060689,sepalabs.com,
"SEPA, PC",COLUMBUS,GA,31901,11D2092138,columbusga.org,
GI NORTH PATHOLOGY LABORATORY,ALPHARETTA,GA,30022,11D2280962,gi-north.com,
OCMULGEE MEDICAL PATHOLOGY DBA AMERIPATH INC,TUCKER,GA,30084,11D2230489,ameripath.com,
KAISER PERMANENTE KOOLAU MEDICAL OFFICE LAB,KANEOHE,HI,96744,12D0619452,healthy.kaiserpermanente.org,
BIOLIFE PLASMA SERVICES LP,MCDONOUGH,GA,30253,11D2160347,biolifeplasma.com,
DIAGNOSTIC LABORATORY SERVICES-SMMH,KAPAA,HI,96746,12D0619633,dlslab.com,
"SEBLE CHEKOLM, MD",ALPHARETTA,GA,30009,11D2289796,care.healthline.com,
CLINICAL LABS OF HAWAII-KAMUELA,KAMUELA,HI,96743,12D0646223,clinicallabs.com,
CLINICAL LABS OF HAWAII WAILUKU -MMG,WAILUKU,HI,96793,12D0619547,clinicallabs.com,
"BETTER LIFE SCIENCE, LLC",ALPHARETTA,GA,30022,11D2282920,mybls.com,
"CSL PLASMA, INC - DALTON",DALTON,GA,30721,11D2187123,cslplasma.com,
CLINICAL LABS OF HAWAII-KAU HOSPITAL,PAHALA,HI,96777,12D0646234,clinicallabs.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,ALBANY,GA,31705,11D2154065,locations.labcorp.com,
CLINICAL LABS OF HAWAII-KULA HOSPITAL,KULA,HI,96790,12D0619844,clinicallabs.com,
KAISER PERMANENTE LAHAINA MHV#2 LABORATORY,LAHAINA,HI,96761,12D2299285,healthy.kaiserpermanente.org,
KAISER PERMANENTE WAIPIO MEDICAL OFFICE LABORATORY,WAIPAHU,HI,96797,12D1029470,healthy.kaiserpermanente.org,
HAWAII DEPT OF HEALTH,PEARL CITY,HI,96782,12D0646259,health.hawaii.gov,
BIOLIFE PLASMA SERVICES,AUGUSTA,GA,30907,11D2154073,biolifeplasma.com,
DIAGNOSTIC LABORATORY SERVICES-WCC CTR,WAIANAE,HI,96792,12D2278175,wcchc.com,
KAISER PERMANENTE MAUI LANI MEDICAL OFFICE LAB,WAILUKU,HI,96793,12D1031667,healthy.kaiserpermanente.org,
DIAGNOSTIC LABORATORY SERVICES-KOHALA HOSP,KAPAAU,HI,96755,12D2305342,dlslab.com,
CLINICAL LABS OF HAWAII-KEALAKEKUA,KEALAKEKUA,HI,96750,12D2306255,clinicallabs.com,
CLINICAL LABS OF HAWAII-SURGICARE OF HAWAII,HONOLULU,HI,96813,12D2043122,surgicareofhawaii.com,
INCYTE PATHOLOGY - KOOTENAI HEALTH BRANCH,COEUR D'ALENE,ID,83814,13D2011094,incytepathology.com,
