name,address,city,state,zip,phone,clia_number,lab_type,cms_facility_type_name,test_volume,site_count
GENETIC DIAGNOSTIC LABORATORY,"560 CLINICAL RESEARCH BLDG, 415 CURIE BLVD",PHILADELPHIA,PA,19104,2155739161,39D0893887,OTHER,other,971,0
CARDIOLOGY ASSOCIATES OF ALTOONA LLP,1321 11TH AVENUE,ALTOONA,PA,16601,8149422411,39D0914292,POL,physician_office,1,0
CONSULTANTS IN MEDICAL ONCOLOGY & HEMATOLOGY,3855 W CHESTER PIKE STE 101,NEWTOWN SQUARE,PA,19073,6104925900,39D0947663,POL,physician_office,10001,0
VITA MEDICAL ASSOCIATES PC,GATEWAY AT GREENWAY PARK,BETHLEHEM,PA,18015,6108660113,39D0950912,POL,physician_office,1800,0
AZIZKHAN INTERNAL MEDICINE ASSOCIATES,888 POPLAR CHURCH ROAD,CAMP HILL,PA,17011,7177242126,39D0978140,REFERENCE,independent,475,0
"INFECTIOUS DISEASE LABORATORIES, UNIV OF PITTS",3550 TERRACE ST S830 SCAIFE HALL,PITTSBURGH,PA,15213,4123838138,39D1010503,REFERENCE,independent,450,0
GEISINGER CLINIC DBA GEISINGER MEDICAL GROUP,200 SCENERY DRIVE,STATE COLLEGE,PA,16801,8142316262,39D1021114,POL,physician_office,2740,0
BRYN MAWR MEDICAL SPECIALISTS ASSOCIATION,PALMER MEDICAL BUILDING,WYNNEWOOD,PA,19096,6106421090,39D1040519,POL,physician_office,200,0
GREENTREE MEDICAL CENTER,995 GREENTREE RD,PITTSBURGH,PA,15220,4129201700,39D2033974,POL,physician_office,3180,0
CONSULTANTS IN MEDICAL ONCOLOGY & HEMATOLOGY,CROZER MEDICAL PLAZA II CANCER CENTER,GLEN MILLS,PA,19342,6104925905,39D2036126,POL,physician_office,27888,0
"PITTSBURGH GASTROENTEROLOGY ASSOCIATES, LTD",2589 BOYCE PLAZA ROAD,PITTSBURGH,PA,15241,4128380400,39D2067596,POL,physician_office,7400,0
LABORATORY ASSOCIATES OF ERIE LLC,"100 PEACH STREET, SUITE 202",ERIE,PA,16507,8144591851,39D2135920,REFERENCE,independent,1800,0
"AESTHETIC DERMATOLOGY ASSOCIATES, PC -PAOLI OFFICE","4 INDUSTRIAL BLVD, SUITE 200",PAOLI,PA,19301,6105667300,39D2142589,POL,physician_office,495,0
PSH HOLY SPIRIT MEDICAL CTR POCT,503 N 21ST STREET,CAMP HILL,PA,17011,7177632201,39D2151185,UNSUITABLE,hospital,30377,0
REGIONAL ARTHRITIS & RHEUMATOLOGY ASSOCIATES,"2500 HIGHLAND ROAD, SUITE 101",HERMITAGE,PA,16148,7247048787,39D2161279,POL,physician_office,7500,0
INDIANA REGIONAL MEDICAL CENTER,"120 IRMC DRIVE, SUITE 150",INDIANA,PA,15701,7243577188,39D2167130,UNSUITABLE,hospital,120000,0
PSH HAMPDEN MEDICAL CENTER POCT,2200 GOOD HOPE RD,ENOLA,PA,17025,7177632201,39D2228255,UNSUITABLE,hospital,5640,0
MOUNT NITTANY MEDICAL CENTER,"155 WELLNESS WAY, LABOR AND DELIVERY",STATE COLLEGE,PA,16803,8142346125,39D2334736,UNSUITABLE,hospital,0,0
